"","app_date","applicantID","loan_sequence","disp_date","twoDigits_zip","addrZip","clientID","addrCity","Latitude","Longtiude","repayStatus","delinqDays","age","appGender","appCivilStatus","appDependents","appIncome","requestedAmt_loan1","requestedTerm_loan1","actualAmt_loan1","actualTerm_loan1","scoreProxy","starting_state","game_count","game_dummy","stadium","nn.dists","lat","long","dif_metric","nn.dists.sq","check","obs","meters","mi","near_club_1","near_club_med","near_club_mean","near_club_3","loan_rt","weekday","month","city","game","Final Comp","near_club_1_game_st","near_club_med_game_st","near_club_mean_game_st","near_club_3_game_st"
"14",2018-11-21,102482,1,2018-11-21,"42",42700,125648,"Mixquiahuala de Juv°rez",20.2088,-99.1807,"1",0,25,"0","single",0,105000,3000,30,1500,30,"1",100,0,0,16,0.436861900375857,20.1052,-98.7563,0.190848320000005,0.190848320000005,0,14,45825.3006506138,28.474592473072,0,0,1,1,0.0142857142857143,"4","11",NA,0,NA,0,0,0,0
"15",2018-11-21,102483,1,2018-11-21,"56",56535,125662,"IXTAPALUCA",19.3014,-98.8808,"1",0,48,"0","married",2,7000,3000,30,2000,30,"3",100,0,0,13,0.269704171269189,19.3029,-99.1505,0.0727403400000001,0.0727403400000002,-1.38777878078145e-17,15,28335.7268933208,17.6070481646643,0,1,1,1,0.285714285714286,"4","11",NA,0,NA,0,0,0,0
"16",2018-11-21,102490,2,2018-11-21,"88",88570,101190,"Reynosa",26.1163,-98.3649,"1",0,35,"1","married",2,6950,3000,30,2000,30,NA,100,0,0,8,1.93227580070755,25.6682,-100.2445,3.73368976999999,3.73368976999999,-4.44089209850063e-16,16,194727.342958192,120.998261994477,0,0,0,1,0.287769784172662,"4","11",NA,0,NA,0,0,0,0
"17",2018-11-21,102507,1,2018-11-21,"97",97800,83451,"Maxcanu",20.5846,-90.001,"1",0,50,"0","married",4,6500,1600,23,1600,23,"2",100,0,0,3,6.28654341351429,19.1643,-96.125,39.5206280899999,39.5206280899999,0,17,660268.495618229,410.27284204595,0,0,0,0,0.246153846153846,"4","11",NA,0,NA,0,0,0,0
"18",2018-11-21,102509,1,2018-11-22,"76",76125,71840,"Querv©taro",20.5833,-100.3469,"1",0,28,"1","married",0,8000,1500,29,1500,29,"1",100,0,0,5,0.0201920776543583,20.5777,-100.3663,0.000407719999999637,0.000407719999999637,0,18,2115.69647939808,1.31463611132395,1,1,1,1,0.1875,"4","11",NA,0,NA,0,0,0,0
"19",2018-11-21,102511,1,2018-11-23,"66",66420,125708,"San Nicolv°s de los Garza",25.7361,-100.2707,"1",0,24,"0","single",0,24000,3000,16,2500,23,"2",100,0,0,2,0.0434816053061452,25.7225,-100.312,0.00189064999999939,0.00189064999999939,-2.16840434497101e-19,19,4409.70719095577,2.74007182506852,1,1,1,1,0.104166666666667,"4","11",NA,0,NA,0,0,0,0
"20",2018-11-21,102535,1,2018-11-21,"84",84270,62177,"Agua Prieta",31.1044,-109.1973,"0",329,23,"1","single",0,15000,3000,30,1500,30,"1",100,0,0,14,7.92120831729005,32.506744,-116.993387,62.745541205905,62.745541205905,0,20,753686.717006005,468.32037792263,0,0,0,0,0.1,"4","11",NA,0,NA,0,0,0,0
"21",2018-11-21,102541,1,2018-11-21,"29",29080,125605,"Tuxtla Gutiv©rrez",16.7359,-93.0959,"1",0,20,"0","single",0,5300,3000,20,1700,20,"3",100,0,0,3,3.88234122276752,19.1643,-96.125,15.07257337,15.07257337,0,21,419473.188321515,260.649202978559,0,0,0,0,0.320754716981132,"4","11",NA,0,NA,0,0,0,0
"22",2018-11-21,102543,3,2018-11-21,"57",57600,89996,"Nezahualcoyotl",19.399,-99.0446,"1",0,30,"1","single",1,7000,1500,15,1500,15,NA,100,0,0,13,0.143003566389087,19.3029,-99.1505,0.0204500199999981,0.0204500199999981,0,22,15432.3846924805,9.58926310939919,0,1,1,1,0.214285714285714,"4","11",NA,0,NA,0,0,0,0
"23",2018-11-21,102544,2,2018-11-21,"2",2240,59330,"azcapotzalco",19.4853,-99.1403,"1",0,28,"1","single",1,12500,3000,30,3000,30,NA,100,0,0,6,0.161941872287558,19.3319,-99.1922,0.0262251699999997,0.0262251699999997,3.46944695195361e-18,23,17924.7630953675,11.137959098368,0,1,1,1,0.24,"4","11",NA,0,NA,0,0,0,0
"24",2018-11-21,102570,1,2018-11-22,"86",86040,40114,"Centro",17.9966,-92.8602,"1",0,46,"1","divorced",1,10000,2500,30,1500,22,"1",100,0,0,3,3.46733937335242,19.1643,-96.125,12.02244233,12.02244233,0,24,368189.070711697,228.782650472677,0,0,0,0,0.15,"4","11",NA,0,NA,0,0,0,0
"25",2018-11-21,102571,2,2018-11-21,"93",93369,108762,"Poza Rica de Hidalgo",20.503,-97.4669,"1",0,26,"0","single",0,40000,3000,17,1500,17,NA,100,0,0,16,1.3493691859532,20.1052,-98.7563,1.8207972,1.8207972,-2.22044604925031e-16,25,141712.467387378,88.0562636778914,0,0,1,1,0.0375,"4","11",NA,0,NA,0,0,0,0
"26",2018-11-21,102574,1,2018-11-22,"48",48290,125806,"Puerto Vallarta",20.5539,-105.1492,"0",335,43,"0","single",0,10000,3000,30,1500,23,"3",100,0,0,12,1.69144257070703,20.6818,-103.4626,2.86097797,2.86097796999999,4.44089209850063e-16,26,176300.959858736,109.548609901411,0,0,0,1,0.15,"4","11",NA,0,NA,0,0,0,0
